"Date","APPL","NASDAQ","WTI","Gold","Copper","TNYR","DXY","CQQQ","CAC40"
2015-10-26,26.547428,5034.700195,43.98,1167,2.3565,2.058,96.860001,32.677975,4897.129883
2015-10-27,26.37932,5030.149902,43.200001,1166.800049,2.358,2.028,96.910004,32.715744,4847.069824
2015-10-28,27.466272,5095.689941,45.939999,1177.099976,2.3545,2.092,97.779999,32.942345,4890.580078
2015-10-29,27.756428,5074.27002,46.060001,1147.199951,2.3155,2.173,97.279999,32.791275,4885.819824
2015-10-30,27.519243,5053.75,46.59,1141.5,2.3135,2.151,96.949997,33.414436,4897.660156
2015-11-02,27.90612,5127.149902,46.139999,1135.800049,2.3155,2.187,96.93,33.971504,4916.209961
2015-11-03,28.226217,5145.129883,47.900002,1114.199951,2.327,2.22,97.160004,33.990383,4936.180176
2015-11-04,28.094954,5142.47998,46.32,1106.5,2.3195,2.23,97.949997,34.368057,4948.290039
2015-11-05,27.965439,5127.740234,45.200001,1104.400024,2.2535,2.245,97.940002,34.226429,4980.040039
2015-11-06,27.997818,5147.120117,44.290001,1087.599976,2.2415,2.333,99.160004,34.339725,4984.149902
2015-11-09,27.884497,5095.299805,43.869999,1087.900024,2.23,2.342,98.980003,33.546619,4911.169922
2015-11-10,27.005665,5083.240234,44.209999,1088.199951,2.2165,2.322,99.290001,33.39555,4912.160156
2015-11-11,26.853022,5067.02002,42.93,1084.699951,2.2165,2.338,99.010002,33.320019,4952.509766
2015-11-12,26.762825,5005.080078,41.75,1080.800049,2.173,2.319,98.650002,33.659927,4856.649902
2015-11-13,25.981123,4927.879883,40.740002,1080.800049,2.17,2.28,98.989998,32.942345,4807.950195
2015-11-16,26.406668,4984.620117,41.740002,1083.699951,2.118,2.273,99.440002,33.905407,4804.310059
2015-11-17,26.293344,4986.02002,40.669998,1068.699951,2.1055,2.261,99.629997,34.047039,4937.310059
2015-11-18,27.125925,5075.200195,40.75,1068.800049,2.078,2.269,99.650002,34.103683,4906.720215
2015-11-19,27.470516,5073.640137,40.540001,1078,2.0765,2.248,98.989998,34.547451,4915.100098
2015-11-20,27.590784,5104.919922,40.389999,1076.400024,2.054,2.262,99.57,35.142284,4910.970215
2015-11-23,27.232309,5102.47998,41.75,1066.800049,2.0195,2.25,99.800003,35.000656,4889.120117
2015-11-24,27.493647,5102.810059,42.869999,1074.300049,2.0535,2.243,99.529999,34.698513,4820.279785
2015-11-25,27.297066,5116.140137,43.040001,1070.5,2.0445,2.232,99.800003,35.29335,4892.990234
2015-11-27,27.246185,5127.52002,41.709999,1056.199951,2.0505,2.225,100.019997,34.490795,4930.140137
2015-11-30,27.359512,5108.669922,41.650002,1065.800049,2.0445,2.218,100.169998,35.161171,4957.600098
2015-12-01,27.137486,5156.310059,41.849998,1063.800049,2.0665,2.155,99.800003,35.416092,4914.529785
2015-12-02,26.892336,5123.220215,39.939999,1054.199951,2.029,2.178,99.989998,35.453857,4905.759766
2015-12-03,26.642567,5037.529785,41.080002,1061.699951,2.056,2.33,97.620003,34.604103,4730.209961
2015-12-04,27.528339,5142.27002,39.970001,1084.5,2.074,2.275,98.349998,35.416092,4714.790039
2015-12-07,27.354881,5101.810059,37.650002,1076.400024,2.0445,2.225,98.660004,35.217815,4756.410156
2015-12-08,27.343323,5098.240234,37.509998,1076.300049,2.048,2.238,98.470001,35.057304,4681.859863
2015-12-09,26.739704,5022.870117,37.16,1077.599976,2.06,2.208,97.349998,34.726841,4637.450195
2015-12-10,26.866899,5045.169922,36.759998,1073.099976,2.065,2.239,97.940002,34.632427,4635.060059
2015-12-11,26.175396,4933.470215,35.619999,1076.900024,2.108,2.139,97.57,33.499409,4549.560059
2015-12-14,26.013504,4952.22998,36.310001,1064.699951,2.104,2.225,97.599998,33.763783,4473.069824
2015-12-15,25.553272,4995.359863,37.349998,1062.900024,2.051,2.268,98.220001,34.670197,4614.399902
2015-12-16,25.749855,5071.129883,35.52,1078,2.061,2.287,97.870003,35.265022,4624.669922
2015-12-17,25.204052,5002.549805,34.950001,1050.800049,2.0345,2.238,99.269997,34.98177,4677.540039
2015-12-18,24.521801,4923.080078,34.73,1066.199951,2.103,2.199,98.699997,34.91568,4625.259766
2015-12-21,24.822451,4968.919922,34.740002,1081.900024,2.129,2.197,98.459999,34.840145,4565.169922
2015-12-22,24.799324,5001.109863,36.139999,1074.800049,2.097,2.239,98.239998,35.057304,4567.600098
2015-12-23,25.118481,5045.930176,37.5,1069.400024,2.1115,2.264,98.339996,35.217815,4674.529785
2015-12-24,24.984346,5048.490234,38.099998,1077.199951,2.1115,2.243,97.980003,35.175545,4663.180176
2015-12-28,24.704502,5040.990234,36.810001,1070.5,2.0665,2.225,97.919998,34.637642,4617.950195
2015-12-29,25.148544,5107.939941,37.869999,1077.5,2.125,2.307,98.099998,34.743294,4701.359863
2015-12-30,24.820139,5065.850098,36.599998,1060.099976,2.137,2.303,98.269997,34.666454,4677.140137
2016-01-04,24.364536,4903.089844,36.759998,1075.099976,2.0705,2.245,98.870003,33.312073,4522.450195
2016-01-05,23.753977,4891.430176,35.970001,1078.400024,2.0885,2.248,99.400002,33.581024,4537.629883
2016-01-06,23.289116,4835.759766,33.970001,1091.900024,2.0805,2.177,99.18,33.196804,4480.470215
2016-01-07,22.306208,4689.430176,33.27,1107.699951,2.0155,2.153,98.220001,31.727152,4403.580078
2016-01-08,22.424154,4643.629883,33.16,1097.800049,2.0165,2.13,98.540001,31.535046,4333.759766
2016-01-11,22.787258,4637.990234,31.41,1096.5,1.9675,2.158,98.730003,30.853048,4312.740234
2016-01-12,23.117975,4685.919922,30.440001,1085.599976,1.953,2.102,98.970001,31.006739,4378.75
2016-01-13,22.523605,4526.060059,30.48,1087.5,1.9505,2.066,98.93,30.363165,4391.939941
2016-01-14,23.016216,4615,31.200001,1073.900024,1.971,2.098,99.089996,30.977921,4312.890137
2016-01-15,22.463472,4488.419922,29.42,1091.5,1.9395,2.033,98.959999,29.64275,4210.160156
2016-01-19,22.35478,4476.950195,28.459999,1089.900024,1.9735,2.035,98.989998,30.401588,4272.259766
2016-01-20,22.384842,4471.689941,26.549999,1107.099976,1.956,1.984,99.089996,29.882887,4124.950195
2016-01-21,22.271521,4472.060059,29.530001,1099.099976,1.993,2.019,99.059998,29.796438,4206.399902
2016-01-22,23.455633,4591.180176,32.189999,1097.199951,1.9985,2.048,99.57,30.37277,4336.689941
2016-01-25,22.997717,4518.490234,30.34,1106.199951,1.9955,2.022,99.360001,30.190264,4311.330078
2016-01-26,23.124914,4567.669922,31.450001,1121.699951,2.034,1.994,99.360001,30.142237,4356.810059
2016-01-27,21.605453,4468.169922,32.299999,1116.099976,2.063,2.001,98.900002,29.594721,4380.359863
2016-01-28,21.76041,4506.680176,33.220001,1115.599976,2.049,1.985,98.510002,29.690777,4322.160156
2016-01-29,22.512041,4613.950195,33.619999,1116.400024,2.064,1.931,99.610001,30.219082,4417.02002
2016-02-01,22.301582,4620.370117,31.620001,1127.900024,2.0515,1.966,99,30.09421,4392.330078
2016-02-02,21.850603,4516.950195,29.879999,1127.300049,2.052,1.864,98.870003,29.873281,4283.990234
2016-02-03,22.283085,4504.240234,32.279999,1141.300049,2.092,1.881,97.290001,29.671564,4226.959961
2016-02-04,22.462126,4509.560059,31.719999,1157.599976,2.128,1.864,96.470001,29.57551,4228.529785
2016-02-05,21.862209,4363.140137,30.889999,1157.800049,2.1005,1.848,97.029999,29.047203,4200.669922
2016-02-08,22.092409,4283.75,29.690001,1197.900024,2.0885,1.735,96.57,28.221125,4066.310059
2016-02-09,22.087757,4268.759766,27.940001,1198.699951,2.0385,1.729,96.07,27.952173,3997.540039
2016-02-10,21.92034,4283.589844,27.450001,1194.699951,2.025,1.705,95.889999,28.240335,4061.199951
2016-02-11,21.787796,4266.839844,26.209999,1247.900024,2.004,1.644,95.559998,27.635187,3896.709961
2016-02-12,21.855232,4337.509766,29.440001,1239.099976,2.027,1.748,95.980003,28.624559,3995.060059
2016-02-16,22.471428,4435.959961,29.040001,1207.900024,2.049,1.778,96.870003,29.633142,4110.660156
2016-02-17,22.815565,4534.060059,30.66,1211.099976,2.074,1.819,96.790001,30.228687,4233.470215
2016-02-18,22.38307,4487.540039,30.77,1226.099976,2.0715,1.759,96.949997,29.834858,4239.759766
2016-02-19,22.331917,4504.430176,29.639999,1230.400024,2.0755,1.748,96.599998,30.343954,4223.040039
2016-02-22,22.527231,4570.609863,31.48,1209.5,2.113,1.766,97.379997,31.073977,4298.700195
2016-02-23,22.018002,4503.580078,31.870001,1222.300049,2.1045,1.745,97.480003,30.247898,4238.419922
2016-02-24,22.345863,4542.609863,32.150002,1238.699951,2.095,1.742,97.459999,30.363165,4155.339844
2016-02-25,22.499331,4582.200195,33.07,1238.199951,2.065,1.697,97.290001,29.902096,4248.450195
2016-02-26,22.534208,4590.470215,32.779999,1219.800049,2.118,1.762,98.150002,30.228687,4314.569824
2016-02-29,22.483057,4557.950195,33.75,1233.900024,2.1285,1.74,98.209999,30.199873,4353.549805
2016-03-01,23.375963,4689.600098,34.400002,1230.300049,2.1415,1.834,98.349998,30.737782,4406.839844
2016-03-02,23.427116,4703.419922,34.66,1241.099976,2.1775,1.848,98.209999,31.285299,4424.890137
2016-03-03,23.601511,4707.419922,34.57,1257.400024,2.2045,1.83,97.57,31.141214,4416.080078
2016-03-04,23.952627,4717.02002,35.919998,1269.900024,2.271,1.883,97.339996,31.842422,4456.620117
2016-03-07,23.687551,4708.25,37.900002,1263.199951,2.2805,1.902,97.07,31.535046,4442.290039
2016-03-08,23.492224,4648.819824,36.5,1262.099976,2.2185,1.832,97.209999,31.073977,4404.02002
2016-03-09,23.513155,4674.379883,38.290001,1256.599976,2.23,1.892,97.169998,31.246872,4425.649902
2016-03-10,23.524775,4662.160156,37.84,1272,2.2175,1.929,96.07,30.910681,4350.350098
2016-03-11,23.778234,4748.470215,38.5,1258.699951,2.2385,1.977,96.169998,31.765577,4492.790039
2016-03-14,23.838688,4750.279785,37.18,1244.400024,2.237,1.963,96.620003,32.005714,4506.589844
2016-03-15,24.317701,4728.669922,36.34,1230.400024,2.231,1.959,96.629997,31.611887,4472.629883
2016-03-16,24.640911,4763.970215,38.459999,1229.300049,2.2315,1.938,95.889999,31.698343,4463
2016-03-17,24.601379,4774.990234,40.200001,1264.5,2.289,1.903,94.760002,32.274666,4442.890137
2016-03-18,24.629284,4795.649902,39.439999,1253.800049,2.2795,1.871,94.989998,32.812584,4462.509766
2016-03-21,24.626959,4808.870117,39.91,1243.800049,2.2895,1.923,95.290001,33.033504,4427.799805
2016-03-22,24.815302,4821.660156,41.450001,1248.199951,2.2845,1.935,95.650002,33.100742,4431.970215
2016-03-23,24.67811,4768.859863,39.790001,1223.699951,2.2305,1.875,96.050003,32.389935,4423.97998
2016-03-24,24.571148,4773.5,39.459999,1221.400024,2.2245,1.9,96.139999,32.370728,4329.680176
2016-03-29,25.038527,4846.620117,38.279999,1235.599976,2.2085,1.814,95.160004,32.745342,4366.669922
2016-03-30,25.475679,4869.290039,38.32,1226.900024,2.187,1.83,94.839996,32.956669,4444.419922
2016-03-31,25.343138,4869.850098,38.34,1234.199951,2.1815,1.786,94.589996,32.899033,4385.060059
2016-04-01,25.575666,4914.540039,36.790001,1222.199951,2.161,1.792,94.620003,32.812584,4322.240234
2016-04-04,25.838421,4891.799805,35.700001,1218,2.138,1.779,94.510002,32.620472,4345.220215
2016-04-05,25.53381,4843.930176,35.889999,1228.400024,2.135,1.727,94.629997,32.207432,4250.279785
2016-04-06,25.801216,4920.720215,37.75,1222.5,2.1405,1.755,94.43,32.956669,4284.640137
